epoch,split,loss,roc_auc,pr_auc,acc,f1
1,train,0.3781058733513699,0.5340978399486721,0.5204241215196272,0.5074626865671642,0.0425531914893617
1,val,0.3565561744083921,0.6359649122807018,0.8450424213756572,0.24701195219123506,0.05025125628140704
1,train,0.3503236495852656,0.5653969000032046,0.7991986223207562,0.5681592039800994,0.6702127659574468
1,val,0.3146815632443979,0.6898625429553266,0.877587137614323,0.7569721115537849,0.8493827160493828
2,train,0.34055251422806165,0.5618610663048935,0.7985411861779979,0.5373134328358209,0.6324110671936759
2,val,0.31694026137015735,0.6985892566467715,0.8816047834577464,0.7330677290836654,0.8312342569269522
3,train,0.3406491165878761,0.5597406343136103,0.7940371898723861,0.527363184079602,0.6196957566052842
3,val,0.3185163211537547,0.6541417977934526,0.8548725428704236,0.649402390438247,0.75
4,train,0.3400503646823304,0.5615619625479367,0.7886395837216287,0.5442786069651742,0.6498470948012233
4,val,0.3187206482507318,0.6622354856212698,0.8563149920056612,0.6693227091633466,0.7661971830985915
5,train,0.333412355154901,0.5980953500048071,0.8102090074036348,0.6029850746268657,0.7072633895818048
5,val,0.3110502163964914,0.6800054259359739,0.8716719576443606,0.6374501992031872,0.7283582089552239
6,train,0.3348425861318313,0.5985626996250522,0.807717289663993,0.5970149253731343,0.6961740435108777
6,val,0.3107286816336719,0.6811810453969976,0.8721385584181989,0.5776892430278885,0.6645569620253164
7,train,0.33343212761689184,0.6015163492250009,0.8036506828612353,0.6169154228855721,0.7220216606498195
7,val,0.32181438020026065,0.6967806113221198,0.8785646038481894,0.46215139442231074,0.49056603773584906
8,train,0.33408563656000356,0.6020050633993143,0.8140604704515195,0.5741293532338309,0.6687306501547987
8,val,0.32027220061100814,0.6858383071079761,0.8585762254949283,0.4701195219123506,0.5128205128205128
9,train,0.33910283609409236,0.5693146251054875,0.7877745852619029,0.5701492537313433,0.6676923076923077
9,val,0.32119956588840104,0.6761620546210889,0.8652636122319024,0.5776892430278885,0.6535947712418301
10,train,0.33496692425279473,0.5940494375781141,0.8114920364670032,0.5830845771144278,0.6842501883948756
10,val,0.30657183019763445,0.7283414722372943,0.8877035929263093,0.7330677290836654,0.8277634961439588
11,train,0.3287612046323605,0.6186961212652089,0.8236920858215077,0.5880597014925373,0.6858877086494689
